CAMPUS;CURSO
Belém;137 - Química - Licenciatura (Extensivo/Matutino/Entrada 1)
Belém;138 - Química - Bacharelado (Extensivo/Vespertino/Entrada 1)
Belém;139 - Química Industrial - Bacharelado (Extensivo/Vespertino/Entrada 1)
Belém;140 - Serviço Social - Bacharelado (Extensivo/Vespertino/Entrada 1)
Belém;141 - Serviço Social - Bacharelado (Extensivo/Noturno/Entrada 1)
Belém;142 - Serviço Social - Bacharelado (Extensivo/Matutino/Entrada 1)
Belém;143 - Sistemas de Informação - Bacharelado (Extensivo/Noturno/Entrada 1)
Belém;144 - Teatro - Licenciatura (Extensivo/Noturno/Entrada 1)
Belém;145 - Terapia Ocupacional - Bacharelado (Extensivo/Matutino/Entrada 1)
Belém;146 - Turismo - Bacharelado (Extensivo/Matutino/Entrada 1)
Belém;147 - Turismo - Bacharelado (Extensivo/Noturno/Entrada 1)
Bragança;148 - Ciências Biológicas - Licenciatura (Extensivo/Vespertino/Entrada 1)
Bragança;149 - Ciências Naturais - Licenciatura (Extensivo/Matutino/Entrada 1)
Bragança;150 - Engenharia de Pesca - Bacharelado (Extensivo/Vespertino/Entrada 1)
Bragança;151 - História - Licenciatura (Extensivo/Vespertino/Entrada 1)
Bragança;152 - Letras - Inglês - Licenciatura (Extensivo/Noturno/Entrada 2)
Bragança;153 - Letras - Português - Licenciatura (Extensivo/Matutino/Entrada 2)
Bragança;154 - Matemática - Licenciatura (Extensivo/Vespertino/Entrada 1)
Bragança;155 - Pedagogia - Licenciatura (Extensivo/Noturno/Entrada 2)
Breves;156 - Matemática - Licenciatura (Extensivo/Noturno/Entrada 1)
Breves;157 - Pedagogia - Licenciatura (Intensivo/Integral/Entrada 2)
Breves;158 - Letras - Português - Licenciatura (Extensivo/Noturno/Entrada 2)
Cametá (Oferta em Baião);159 - Letras - Português - Licenciatura (Intensivo/Integral/Entrada 2)
Cametá;160 - Agronomia - Bacharelado (Extensivo/Matutino/Entrada 2)
Cametá (Oferta em Mocajuba);161 - Ciências Naturais - Licenciatura (Intensivo/Integral/Entrada 2)
Cametá;162 - Geografia - Licenciatura (Extensivo/Noturno/Entrada 2)
Cametá (Oferta em Igarapé-Miri);163 - Geografia - Licenciatura (Intensivo/Integral/Entrada 2)
Cametá (Oferta em Mocajuba);164 - História - Licenciatura (Intensivo/Integral/Entrada 2)
Cametá;165 - Letras - Inglês - Licenciatura (Extensivo/Matutino/Entrada 2)
Cametá;166 - Letras - Português - Licenciatura (Extensivo/Matutino/Entrada 2)
Cametá;167 - Matemática - Licenciatura (Extensivo/Vespertino/Entrada 2)
Cametá;168 - Pedagogia - Licenciatura (Extensivo/Matutino/Entrada 2)
Cametá (Oferta em Limoeiro do Ajuru);169 - Pedagogia - Licenciatura (Intensivo/Integral/Entrada 2)
Cametá;170 - Sistemas de Informação - Bacharelado (Intensivo/Integral/Entrada 2)
Castanhal;171 - *Educação Física (ABI) - Licenciatura / Bacharelado (Extensivo/Integral/Entrada 1)
Castanhal;172 - *Educação Física (ABI) - Licenciatura / Bacharelado (Extensivo/Integral/Entrada 2)
Castanhal;173 - Engenharia de Computação - Bacharelado (Extensivo/Matutino/Entrada 2)
Castanhal;174 - Letras - Espanhol - Licenciatura (Extensivo/Matutino/Entrada 2)
Castanhal;175 - Letras -Português - Licenciatura (Extensivo/Noturno/Entrada 2)
Castanhal;176 - Matemática - Licenciatura (Extensivo/Matutino/Entrada 1)
Castanhal;177 - Matemática - Licenciatura (Extensivo/Vespertino/Entrada 2)
Castanhal;178 - Medicina Veterinária - Bacharelado (Extensivo/Integral/Entrada 1)
