Ano;Codigo da Area;Area de Avaliacao;Grau Academico;Codigo da IES;Nome da IES*;Sigla da IES*;Organizacao Academica;Categoria Administrativa;Codigo do Curso;Modalidade de Ensino;Codigo do Municipio**;Municipio do Curso**;Sigla da UF** ;NUMERO de Concluintes Inscritos;NUMERO  de Concluintes Participantes;Nota Bruta - FG;Nota Padronizada - FG;Nota Bruta - CE;Nota Padronizada - CE;Conceito Enade (Continuo);Conceito Enade (Faixa);Observacao
2021;2501;ARTES VISUAIS ;Licenciatura;746;UNIVERSIDADE REGIONAL DO CARIRI;URCA;Universidade;Publica Estadual;1154848;Educacao Presencial;2307304;Juazeiro do Norte;CE;35;29;"32,368";"1,792";"46,965";"2,068";"1,999";3;
2021;2501;ARTES VISUAIS ;Licenciatura;789;UNIVERSIDADE FEDERAL DE RORAIMA;UFRR;Universidade;Publica Federal;1156313;Educacao Presencial;1400100;Boa Vista;RR;9;9;"20,188";0;"41,4";"1,367";"1,025";2;
2021;2501;ARTES VISUAIS ;Licenciatura;830;UNIVERSIDADE FEDERAL DO AMAPA;UNIFAP;Universidade;Publica Federal;102702;Educacao Presencial;1600303;Macapa;AP;58;34;"36,555";"2,408";"45,776";"1,918";"2,041";3;
2021;2501;ARTES VISUAIS ;Licenciatura;953;UNIVERSIDADE METROPOLITANA DE SANTOS;UNIMES;Universidade;Privada sem fins lucrativos;100738;Educacao a Distancia;3548500;Santos;SP;62;50;"31,488";"1,663";"44,868";"1,804";"1,768";2;
2021;2501;ARTES VISUAIS ;Licenciatura;1036;UNIVERSIDADE DO ESTADO DE MINAS GERAIS;UEMG;Universidade;Publica Estadual;39550;Educacao Presencial;3106200;Belo Horizonte;MG;26;12;"36,225";"2,36";"57,508";"3,394";"3,135";4;
2021;2501;ARTES VISUAIS ;Licenciatura;1036;UNIVERSIDADE DO ESTADO DE MINAS GERAIS;UEMG;Universidade;Publica Estadual;84006;Educacao Presencial;3106200;Belo Horizonte;MG;25;18;"39,077";"2,78";"58,494";"3,518";"3,333";4;
2021;2501;ARTES VISUAIS ;Licenciatura;1430;CENTRO UNIVERSITARIO INGA;UNINGA;Centro Universitario;Privada com fins lucrativos;1427707;Educacao a Distancia;4115200;Maringa;PR;21;20;"30,76";"1,555";"47,685";"2,158";"2,007";3;
2021;2501;ARTES VISUAIS ;Licenciatura;1472;CENTRO UNIVERSITARIO LEONARDO DA VINCI;UNIASSELVI;Centro Universitario;Privada com fins lucrativos;111734;Educacao a Distancia;4207502;Indaial;SC;247;174;"33,841";"2,009";"42,91";"1,558";"1,67";2;
2021;2501;ARTES VISUAIS ;Licenciatura;1491;CENTRO UNIVERSITARIO INTERNACIONAL;UNINTER;Centro Universitario;Privada com fins lucrativos;1333079;Educacao a Distancia;4106902;Curitiba;PR;736;538;"30,612";"1,534";"45,508";"1,884";"1,797";2;
2021;2501;ARTES VISUAIS ;Licenciatura;1788;FACULDADE DE ADMINISTRACAO E ARTES DE LIMEIRA;FAAL;Faculdade;Privada com fins lucrativos;99238;Educacao Presencial;3526902;Limeira;SP;23;19;"38,231";"2,655";"48,252";"2,229";"2,336";3;
2021;2501;ARTES VISUAIS ;Licenciatura;1807;"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO CEARA";IFCE;"Instituto Federal de Educacao, Ciencia e Tecnologia";Publica Federal;120080;Educacao Presencial;2304400;Fortaleza;CE;29;16;"42,625";"3,302";"58,6";"3,531";"3,474";4;
2021;2501;ARTES VISUAIS ;Licenciatura;1811;"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE GOIAS";IFG;"Instituto Federal de Educacao, Ciencia e Tecnologia";Publica Federal;1314353;Educacao Presencial;5208905;Goias;GO;11;8;"27,362";"1,055";"44,45";"1,751";"1,577";2;
2021;2501;ARTES VISUAIS ;Licenciatura;1908;ESCOLA DE ENSINO SUPERIOR FABRA;FABRA;Faculdade;Privada sem fins lucrativos;1284746;Educacao Presencial;3205002;Serra;ES;4;3;"39,633";"2,861";"42,3";"1,481";"1,826";2;
